[0.040s] Invoking command in '/home/ros2_ws/build/sensor_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros2_ws/build/sensor_description
[0.254s] -- Found ament_cmake: 1.3.13 (/opt/ros/humble/share/ament_cmake/cmake)
[0.614s] -- Found rclcpp: 16.0.18 (/opt/ros/humble/share/rclcpp/cmake)
[0.760s] -- Found rosidl_generator_c: 3.1.8 (/opt/ros/humble/share/rosidl_generator_c/cmake)
[0.770s] -- Found rosidl_adapter: 3.1.8 (/opt/ros/humble/share/rosidl_adapter/cmake)
[0.797s] -- Found rosidl_generator_cpp: 3.1.8 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
[0.830s] -- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
[0.869s] -- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
[0.968s] -- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)
[0.973s] -- Found rmw_cyclonedds_cpp: 1.3.4 (/opt/ros/humble/share/rmw_cyclonedds_cpp/cmake)
[1.033s] -- Using RMW implementation 'rmw_cyclonedds_cpp' as default
[1.171s] -- Found rclpy: 3.3.20 (/opt/ros/humble/share/rclpy/cmake)
[1.172s] -- Found rosidl_default_generators: 1.2.0 (/opt/ros/humble/share/rosidl_default_generators/cmake)
[1.192s] -- Found ament_lint_auto: 0.12.15 (/opt/ros/humble/share/ament_lint_auto/cmake)
[1.364s] -- Configuring done
[1.856s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_infra_1_optical_frame.STL
[1.857s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_depth_frame.STL
[1.858s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_infra2_optical_frame.STL
[1.859s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_depth_optical_frame.STL
[1.860s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_color_optical_frame.STL
[1.862s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_link.STL
[1.868s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_infra2_frame.STL
[1.869s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_infra_1_frame.STL
[1.870s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_bottom_screw_frame.STL
[1.874s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/rplidar.dae
[1.875s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/r200.dae
[1.876s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/t265.stl
[1.876s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/rplidar2.dae
[1.877s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/d435.dae
[1.915s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/astra.jpg
[1.915s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/plug.stl
[1.916s] -- Up-to-date: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro
[1.916s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/threeD_lidar.xacro
[1.916s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/gemini_335.xacro
[1.917s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/livox_mid360.xacro
[1.917s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/d435.urdf.xacro
[1.918s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/rgbd_cam.xacro
[1.918s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/d435.gazebo.xacro
[1.918s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//xacro/twoD_lidar.xacro
[1.918s] -- Installing: /home/ros2_ws/install/sensor_description/share/ament_index/resource_index/package_run_dependencies/sensor_description
[1.919s] -- Installing: /home/ros2_ws/install/sensor_description/share/ament_index/resource_index/parent_prefix_path/sensor_description
[1.919s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/environment/ament_prefix_path.sh
[1.920s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/environment/ament_prefix_path.dsv
[1.920s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/environment/path.sh
[1.920s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/environment/path.dsv
[1.921s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/local_setup.bash
[1.921s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/local_setup.sh
[1.921s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/local_setup.zsh
[1.922s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/local_setup.dsv
[1.922s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/package.dsv
[1.922s] -- Installing: /home/ros2_ws/install/sensor_description/share/ament_index/resource_index/packages/sensor_description
[1.923s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/cmake/sensor_descriptionConfig.cmake
[1.923s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/cmake/sensor_descriptionConfig-version.cmake
[1.923s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description/package.xml
[1.930s] Invoked command in '/home/ros2_ws/build/sensor_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/ros2_ws/build/sensor_description
